model,condition,language_pair,n,ftga,mean_rtt,unresolved_rate,repair_success_at_1,repair_success_at_2,mean_token_tax,initially_failed_n,ftga_ci_low,ftga_ci_high,mean_rtt_ci_low,mean_rtt_ci_high
gpt-5.4-mini,baseline,ar-ar,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,baseline,en-ar,4,0.75,0.75,0.25,0.0,0.0,1.902027027027027,1,0.25,1,0,2.25
gpt-5.4-mini,baseline,en-es,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,baseline,en-hi,4,0.75,0.75,0.25,0.0,0.0,1.8779761904761905,1,0.25,1,0,2.25
gpt-5.4-mini,baseline,es-ar,4,0,1,0,1.0,1.0,2.6941556273378664,4,0,0,1,1
gpt-5.4-mini,baseline,hi-hi,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,ar-ar,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,en-ar,4,0.75,0.75,0.25,0.0,0.0,1.6233624454148472,1,0.25,1,0,2.25
gpt-5.4-mini,contract,en-es,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,en-hi,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,es-ar,4,1,0,0,,,1.0,0,1,1,0,0
gpt-5.4-mini,contract,hi-hi,4,1,0,0,,,1.0,0,1,1,0,0
